street_name,num_of_rooms,size,type,location,final_price,sold_month,sold_year,price_change,initial_price,floor_num,year_built
Kungsbro,1.0,25,Lägenhet, Kungsholmen,2600000,nov,2019,4.2,2495201,3,2019
Jämtlandsgatan,2.0,66,Lägenhet, Vällingby Parkstad,2780000,dec,2019,11.4,2495000,3,2019
Prästgårdsgränd,2.0,63,Lägenhet, Älvsjö Centrum,2550000,dec,2019,21.7,2095316,3,2009
Forshagagatan,3.0,77,Lägenhet, Farsta,2935000,nov,2019,22.5,2395918,3,2009
Kolbäcksgränd,2.0,58,Lägenhet, Bagarmossen,2600000,dec,2019,8.6,2394106,3,2009
Folkparksvägen,3.0,76,Lägenhet, Älvsjö,3050000,jun,2019,-4.5,3193717,3,2009
Kristallvägen,1.0,27,Lägenhet, Älvsjö Solberga,1800000,okt,2018,1.4,1775147,3,2009
Gustaf,2.0,69,Lägenhet, Långbro Park,3075000,okt,2018,2.7,2994157,3,2009
Drevkroken,5.0,150,Villa, Spånga,6850000,dec,2019,0.0,6850000,3,2009
Metronomgatan,5.0,119,Lägenhet, Telefonplan,6890000,okt,2019,15.8,5950000,3,2009
Celsiusgatan,1.0,25,Lägenhet, Kungsholmen,3250000,dec,2019,32.7,2449133,11,2019
Valutavägen,1.0,38,Lägenhet, Hägerstensåsen,2400000,sep,2019,20.3,1995012,11,2019
Radiusbacken,2.0,55,Lägenhet, Midsommarkransen,3550000,sep,2019,19.3,2975691,11,2019
Karlsbodavägen,1.5,35,Lägenhet, Bromma Mariehäll,2360000,dec,2019,12.6,2095914,11,2019
Kronobergsgatan,1.0,20,Lägenhet, Kungsholmen,2500000,sep,2019,25.3,1995211,11,2019
Jämtlandsgatan,3.0,79,Lägenhet, Vällingby,3795000,aug,2019,—,3795000,11,2019
Stora,4.0,110,Lägenhet, Långbro Park,6850000,okt,2019,5.5,6492890,8,2019
Jämtlandsgatan,1.0,36,Lägenhet, Vällingby,2210000,jul,2019,16.6,1895368,8,2019
Tellusborgsvägen,2.0,45,Lägenhet, Midsommarkransen,3470000,nov,2018,30.9,2650878,8,2019
Vemdalsgatan,3.0,72,Lägenhet, Vällingby,3895000,jul,2019,0.0,3895000,8,2019
Jämtlandsgatan,3.0,65,Lägenhet, Vällingby,2860000,jun,2019,0.0,2860000,8,2019
Jämtlandsgatan,2.0,66,Lägenhet, Vällingby,2850000,maj,2019,26.7,2249408,3,1944
