street_name,num_of_rooms,size,type,location,sold_month,sold_year,initial_price,floor_num,year_built,final_price
Läckövägen,2,41,Lägenhet, Johanneshov,dec,2018,2350000,2,1986,2775000
Svartviksslingan,3,69,Lägenhet, Bromma,jan,2020,3550000,1,1986,3550000
Jungfrugatan,3,72,Lägenhet, Östermalm,jan,2020,7500000,3,1894,8375000
Hälsingegatan,2,54,Lägenhet, Vasastan,jan,2020,5395000,3,1898,6250000
Karlbergsvägen,7,214,Lägenhet, Vasastan,jan,2020,16975000,4,1901,19600000
Banérgatan,2,41,Lägenhet, Östermalm,jan,2020,4495000,5,1923,4700000
Tämnarvägen,2,46,Lägenhet, Årsta,jan,2020,2350000,2,1945,2630000
Möckelvägen,2,40,Lägenhet, Årsta,jan,2020,2295000,1,1939,2800000
Sköntorpsvägen,2,47,Lägenhet, Årsta,jan,2020,2150000,3,1944,2700000
Tavelsjövägen,3,73,Lägenhet, Årsta,jan,2020,3295000,2,2005,4050000
Fendergatan,4,112,Lägenhet, Hammarby Sjöstad,jan,2020,8495000,5,2009,8525000
Fendergatan,4,112,Lägenhet, Hammarby Sjöstad,jan,2020,8495000,5,2009,8525000
Våffelvägen,7,145,Villa, Farsta Sköndal,jan,2020,6975000,3,1950,7000000
Jönåkersvägen,1,18,Lägenhet, Enskede,jan,2020,1695000,3,1950,1695000
Kungstensgatan,2,60,Lägenhet, Vasastan,jan,2020,5700000,3,1893,6450000
Linnégatan,1,22,Lägenhet, Östermalm,jan,2020,2295000,6,1943,2650000
Ålgrytevägen,2,50,Lägenhet, Bredäng,jan,2020,2350000,4,2017,2500000
Skönviksvägen,2,51,Lägenhet, Stureby,jan,2020,1995000,2,1961,2440000
Vintrosagatan,2,70,Lägenhet, Hagsätra,jan,2020,1895000,9,2003,1900000
Skebokvarnsvägen,3,69,Lägenhet, Högdalen,nov,2019,2250000,3,1956,2600000
John,2,42,Lägenhet, Nedre Kungsholmen,jan,2020,3295000,4,1935,4250000
Östersundsgatan,1,54,Lägenhet, Hässelby-Vällingby,jan,2020,1995000,7,2015,2100000
Riddargatan,2,51,Lägenhet, Gårdshus,jan,2020,6100000,2,1905,6050000
Responsgatan,3,71,Lägenhet, Telefonplan,jan,2020,3675000,6,1968,4125000
Rödabergsgatan,2,38,Lägenhet, Vasastan,jan,2020,3295000,1,1925,3805000
Rådmansgatan,2,54,Lägenhet, Vasastan,jan,2020,4995000,2,1898,5780000
Midsommarvägen,3,55,Lägenhet, Midsommarkransen,jan,2020,3850000,1,1944,3850000
Helgalunden,2,66,Lägenhet, Södermalm,jan,2020,4850000,2,1927,5850000
Folkungagatan,1.5,34,Lägenhet, Södermalm,jan,2020,2795000,4,1936,3450000
Krukmakargatan,1,34,Lägenhet, Södermalm,jan,2020,2750000,5,1932,3200000
Lindhagensterrassen,3.5,116,Lägenhet, Kungsholmen,dec,2019,10900000,15,2009,10900000
Västgötagatan,2,49,Lägenhet, Katarina,jan,2020,3495000,4,1967,4320000
Vegagatan,3,86,Lägenhet, Vasastan,jan,2020,7500000,6,1939,7925000
Renstiernas,3,72,Lägenhet, Södermalm,jan,2020,5950000,4,1884,6850000
Fredriksdalsgatan,4,91,Lägenhet, Hammarby Sjöstad,jan,2020,7795000,7,2017,8000000
Folkparksvägen,3,75,Lägenhet, Solberga,jan,2020,3495000,4,2006,3870000
Grafikvägen,2,47,Lägenhet, Gullmarsplan,jan,2020,2695000,2,1946,2910000
Polhemsgatan,4,121,Lägenhet, Kungsholmen,jan,2020,9450000,4,1977,10200000
Borgarfjordsgatan,2,53,Lägenhet, Kista,jan,2020,2545000,16,2015,2500000
Olshammarsgatan,3,73,Lägenhet, Bandhagen,sep,2019,2090000,2,1960,2325000
Brännkyrkagatan,2,46,Lägenhet, Södermalm,apr,2019,3850000,2,1759,4500000
Brännkyrkagatan,2,46,Lägenhet, Södermalm,apr,2019,3850000,2,1759,4500000
Katarina,1,26,Lägenhet, Södermalm,feb,2019,2495908,3,1896,3050000
Mariatorget,2,67,Lägenhet, Södermalm,nov,2018,5950000,3,1896,6200000
Högalidsgatan,1,24,Lägenhet, Södermalm,okt,2018,2295000,2,2016,2650000
Schlytersvägen,3,84,Lägenhet, Aspudden,okt,2018,4749340,3,2016,5400000
Kungssätravägen,3,61,Lägenhet, Sätra,okt,2018,2395121,3,2016,2455000
Tobaksspinnargatan,1,23,Lägenhet, Södermalm,aug,2018,2195526,3,2016,2650000
Årstavägen,3,56,Lägenhet, Enskede-Årsta-Vantör,aug,2018,2795899,3,2016,3000000
Gotlandsgatan,1.5,41,Lägenhet, Södermalm,maj,2018,2994011,3,2016,3500000
Slalomvägen,1,42,Lägenhet, Hägersten-Liljeholmen,maj,2018,2249770,3,2016,2450000
Marmorgatan,1,28,Lägenhet, Södermalm,maj,2018,2295684,3,2016,2500000
Drottningholmsvägen,2.5,66,Lägenhet, Kungsholmen,apr,2018,4094827,3,2016,4275000
Högbergsgatan,2,56,Lägenhet, Södermalm,apr,2018,4501452,3,2016,4650000
Högalidsgatan,1,21,Lägenhet, Södermalm,mar,2018,2194907,3,2016,2500000
Slätbaksvägen,3,53,Lägenhet, Årsta,okt,2017,2750000,3,2016,3100000
Årgångsgatan,4,108,Lägenhet, Hägersten-Liljeholmen,okt,2017,9900000,23,2016,9600000
Hildebergsvägen,2,52,Lägenhet, Hägersten-Liljeholmen,sep,2017,2793709,2,1936,3020000
Pastellvägen,2,59,Lägenhet, Skarpnäcks stadsdelsområde,okt,2017,3244972,2,1936,3550000
Valsbergs,1,29,Lägenhet, Hägersten-Liljeholmen,aug,2017,2095000,2,1936,2685000
Hildebergsvägen,2,52,Lägenhet, Hägersten-Liljeholmen,aug,2017,2895000,2,2005,3400000
Nathorstvägen,2,45,Lägenhet, Skarpnäcks stadsdelsområde,aug,2017,2694610,3,2012,3150000
Tellusborgsvägen,2,53,Lägenhet, Telefonplan,jan,2020,2895000,3,2012,3450000
Upplandsgatan,2,48,Lägenhet, Vasastan,jan,2020,4150000,1,1888,5225000
